Address,Company
Av. Gral. Flores 2287,ABITAB
Daniel Fernandez Crespo 2266,ABITAB
Av. Fernández Crespo 1982,ABITAB
Av. Agraciada 2329,ABITAB
Nueva York 1267,ABITAB
Av. Ltdor. Lavalleja 1945,ABITAB
Paraguay 1962,ABITAB
San Martín 2366,REDPAGOS
Rondeau 2390,REDPAGOS
Av. Libertador 1879 Bis,REDPAGOS
Av. José Batlle y Ordoñez 4123,ABITAB
Av. Agraciada 2545,ABITAB
San Martín 3083,ABITAB
Burgues 3325,ABITAB
Ruta 8 Brig Juan Antonio Lavalleja 8760,REDPAGOS
Av. Gral. E. Garzón 597,ABITAB
San Quintín 4296 bis,ABITAB
San Quintín 1376,ABITAB
Av. C. M. Ramírez 266,ABITAB
Santa Lucía 5412,ABITAB
Millán 5784,ABITAB
Mariano Sagasta 25,ANDA
Garzón 223,REDPAGOS
Agraciada 4295,REDPAGOS
Av. Gral. Flores 3405,ABITAB
Av. L. A. de Herrera 3867,ABITAB
Luis A de Herrera 3365 Shopp Nvo. Cent.,ANDA
Luis A. de Herrera 3836,REDPAGOS
Av. Ramón Anador 3833 bis,ABITAB
Av. Italia 3498,ABITAB
Av. Rivera 3850,ABITAB
Av. Mcal. F. Solano López 1891,ABITAB
Rivera 4219,ABITAB
Nancy 4281 bis/001,ABITAB
Av. Rivera 3060,ABITAB
Av. L. A. de Herrera 1203,ABITAB
L.A. De Herrera 1290 Local 006,ABITAB
Luis A. De Herrera 1290 Local 506,ABITAB
Av. Italia 3488,REDPAGOS
Luis A. de Herrera 1290/148,REDPAGOS
Av. Italia 3794,REDPAGOS
Av. Italia 3428,REDPAGOS
Av. Rivera 4260,REDPAGOS
Av. Agraciada 3655,ABITAB
Av. Agraciada 3054 bis,ABITAB
Capurro 848,ABITAB
Br. Artigas,REDPAGOS
Bolivia 2140,ABITAB
Av. Italia (Supermercado Devoto),ABITAB
Av. Italia 7548,ABITAB
Av. Arocena 1568,ABITAB
Av. Bolivia 1413,ABITAB
Córcega 1943,ABITAB
Almirante Harwood s/n Est. Texaco,ABITAB
Cooper 2115/17,ABITAB
Arocena 1657 B,REDPAGOS
Arocena 1565,REDPAGOS
Shopping Portones,REDPAGOS
Arocena 1625,REDPAGOS
Av. Bolivia 2831,ABITAB
Cooper 2390,ABITAB
Av. Italia 5775 Local 107,ANDA
Av. Italia 5695,REDPAGOS
Av. Dámaso Larrañaga 3648,ABITAB
Andes 1387,ABITAB
Convención 1410,ABITAB
San José 892,ABITAB
Av. Uruguay 1199,ABITAB
San José 827,ABITAB
Andes 1373,ABITAB
W. Ferreira Aldunate 1321,ABITAB
Ejido 1364,ABITAB
Colonia 992,ABITAB
Convención 1366,ABITAB
Av. 18 de Julio 1326 y 1328,ABITAB
Andes 1490,ABITAB
Andes 1422,ABITAB
Río Negro 1457,ABITAB
Paraguay 1315,ABITAB
Zelmar Michelini 1344,ABITAB
Av. 18 de Julio 1395,ABITAB
Paysandú 1341,ABITAB
Dr. Aquiles Lanza 1281,ABITAB
Av. 18 de Julio 1204,ABITAB
Andes 1288,ABITAB
San José 1200,ABITAB
Avda. Uruguay 1252,ABITAB
Río Negro 1149,ABITAB
Colonia 1169,ABITAB
Av. 18 de Julio 975,ABITAB
Dr. Aquiles Lanza 1332,ABITAB
Av. Ltdor. Lavalleja 1644,ABITAB
Ejido 1315,ABITAB
Mercedes 1151,ABITAB
Río Negro 1341,ABITAB
Yaguarón 1450,ABITAB
Ejido 1520,ABITAB
Uruguay 1032,ABITAB
18 de Julio 1250,ANDA
18 de Julio 1046,REDPAGOS
18 de Julio 853,REDPAGOS
18 de Julio 959 loc. 001,REDPAGOS
18 de Julio 1190,REDPAGOS
Galicia 1200,REDPAGOS
18 de Julio 1118,REDPAGOS
18 de Julio 949,REDPAGOS
18 de Julio 1126,REDPAGOS
18 de Julio 1302,REDPAGOS
San Martín 4250,ABITAB
Francisco A. de Lemos 4155,ABITAB
Av. Gral San Martín 3737,ABITAB
San Martín 3699 A,REDPAGOS
Gral. Flores 4051,REDPAGOS
Santa Ana 4108,REDPAGOS
Grecia 3426,ABITAB
Carlos Ma. Ramírez 2389 Bis,ABITAB
Grecia 4249,ABITAB
Av. C. M. Ramírez 1698,ABITAB
Grecia 3816,ABITAB
China 2248,ABITAB
Grecia 4222,ANDA
Bogotá 4289,REDPAGOS
Carlos Ma. Ramírez 1490,REDPAGOS
Cno. Cibils 4484,REDPAGOS
Piedras 249,ABITAB
Colón 1499,ABITAB
Piedras 405,ABITAB
Juncal 1335,ABITAB
Ituzaingó 1433,ABITAB
Zabala 1384,ABITAB
Sarandí 633,ABITAB
Misiones 1482,ABITAB
Misiones 1414,ABITAB
Perez Castellanos 1599,ABITAB
Sarandí 546,ABITAB
Rincón 725,ABITAB
Sarandí 556,REDPAGOS
25 de Mayo 466,REDPAGOS
Misiones 1374,REDPAGOS
Rincón 464,REDPAGOS
Rincón 483,REDPAGOS
Misiones 1428,REDPAGOS
Rincón 477,REDPAGOS
Misiones 1544/46,REDPAGOS
Sarandí 670,REDPAGOS
Misiones 1484,REDPAGOS
Sarandí 396,REDPAGOS
Misiones 1476,REDPAGOS
Rambla 25 de Agosto 260,REDPAGOS
25 de Mayo 452,REDPAGOS
Misiones 1375 L. 001,REDPAGOS
Avda. Garzón 1367,ABITAB
Av. Garzón 1697,ABITAB
Plaza Vidiella 5632 bis,ABITAB
Garzón 1923,ANDA
Garzón 1927 bis,REDPAGOS
Yegros 2062,REDPAGOS
Carafi 1148 bis,ABITAB
Av. 18 de Julio 1927,ABITAB
Av. 18 de Julio 1497,ABITAB
Minas 1479,ABITAB
Av. 18 de Julio 1969,ABITAB
Pablo de María 1446,ABITAB
Constituyente 1661,ABITAB
Colonia 1854,ABITAB
Av. 18 de Julio 1841,ABITAB
Eduardo Acevedo 1527,ABITAB
Tristán Narvaja 1661,ABITAB
Constituyente 1726,ABITAB
Colonia 1755 bis,ABITAB
Vázquez 1468,ABITAB
Av. 18 de Julio 2013,ABITAB
Av. Gral. Rivera 2204,ABITAB
Av. 18 de Julio 1552,ABITAB
Av. Fernández Crespo 1759,ABITAB
Arenal Grande 1570,ANDA
18 de Julio 1581,REDPAGOS
18 de Julio 2063,REDPAGOS
Rivera 2348 local 39,REDPAGOS
18 de Julio 1701,REDPAGOS
18 de Julio 1923,REDPAGOS
Constituyente 1477,REDPAGOS
Rivera 2098,REDPAGOS
José Enrique Rodó 1801,REDPAGOS
Miguelete 2224,REDPAGOS
Arenal Grande 1385,REDPAGOS
Av. Libertador 1572,REDPAGOS
Camino Durán 5986,REDPAGOS
Cam. Maldonado 5502,ABITAB
Del Fuerte 5302,REDPAGOS
Av. Gral. Flores 2540,ABITAB
Av. Gral. Flores 2332,ABITAB
Blandengues 1551,ABITAB
Av. Gral. Flores 2505,ABITAB
Av. Gral. Flores 2422,ABITAB
José L. Terra 2220,ABITAB
Gral. Flores 2595,REDPAGOS
Cno. Maldonado 5803,ABITAB
Br. Gral. Artigas 3003,ABITAB
Br. Artigas 3528,ABITAB
Nápoles 3402,ABITAB
Camino Maldonado 5757,REDPAGOS
Av. Italia 3243,ABITAB
Luis A. de Herrera 2251,ABITAB
Br. Artigas 2474/8,ABITAB
Av. Italia 2801,ABITAB
Av. 8 de Octubre 2953,ABITAB
8 de Octubre 2680,REDPAGOS
Br. Artigas 2151,REDPAGOS
Fco. Simón 2150,REDPAGOS
Hocquard 2139,ABITAB
Justicia 2015 bis,ABITAB
Garibaldi 2550,REDPAGOS
Av. Gral. Flores 2794,ABITAB
Guadalupe 2155 bis,ABITAB
San Martín 2952,REDPAGOS
Gral. Flores 2935,REDPAGOS
Av. C. M. Ramírez 574 loc.6,ABITAB
Av. C. M. Ramírez 947,ABITAB
Manuel Herrera y Obes 4289,REDPAGOS
Martín Berinduague 870,REDPAGOS
Carlos M. Ramirez 474,REDPAGOS
Bvar. Batlle y Ordoñez S/N,ABITAB
Cádiz 3044,ABITAB
Av. Garibaldi 2539,ABITAB
Monte Caseros 3099,REDPAGOS
8 de Octubre 3117,REDPAGOS
José Batlle y Ordoñez 3573,REDPAGOS
Av. Gral. Flores 4699,ABITAB
Alberto Zum Felde 2057 bis,REDPAGOS
Av. De las Instrucciones 1456,ABITAB
Av. Lezica 6339,ABITAB
Av. Lezica 6406,REDPAGOS
Orinoco 5011,ABITAB
Mississipi 1649,ABITAB
Legrand 4864,ABITAB
H. Yrigoyen 1407 loc.001,ABITAB
Av. Italia 4474,ABITAB
Colombes 1433,ABITAB
Orinoco 5009,REDPAGOS
Almería 4704,UNKNOWN
Pedro de Mendoza 5365 bis,ABITAB
Av. José Belloni 5344,ABITAB
Pedro de Mendoza 5398,REDPAGOS
José Belloni 6389,REDPAGOS
Pitágoras 5021 bis,ABITAB
H. Yrigoyen 2054,ABITAB
Veracierto 2851,ABITAB
Cno. Carrasco 4337,ABITAB
Cno. Carrasco 4672,ABITAB
Camino Carrasco 4598,ANDA
Cno. Carrasco 4656,REDPAGOS
Guarapiru 3812/16/18,ABITAB
8 de Octubre 4764,ABITAB
Av. 8 de Octubre 4639,ABITAB
Juan José Belloni 3342 Local 3,ABITAB
José Vasconcellos 3294,REDPAGOS
María Orticochea 5643,ABITAB
Mesa y Castro 7995,REDPAGOS
Carlos María Morales 902,REDPAGOS
Ramón Anador 3410,ABITAB
Francisco Soca 1420,REDPAGOS
20 de Setiembre 1521 L.2,REDPAGOS
Felipe Carapé 4502 y 4600,ABITAB
Pascual Costa 3879 Local 13,REDPAGOS
Av. Gonzalo Ramírez 1951,ABITAB
Constituyente 2013,ABITAB
Canelones 2202,ABITAB
Br. Artigas 1149,REDPAGOS
Luis B. Berres 6149,ABITAB
Av. L. B. Berres 6602,ABITAB
Camino Cibils 5967,ABITAB
Camino Tomkinson 2493,REDPAGOS
Luis B. Berres 6603,REDPAGOS
Av. Ideario Artiguista 2016,REDPAGOS
Av. Agraciada 3961,ABITAB
Av. Agraciada 4109,ABITAB
Agraciada 4143,REDPAGOS
Angel Salvo 149,REDPAGOS
Av. Agraciada 4089,REDPAGOS
Bvar. A. Saravia 4620,ABITAB
Coronel Raíz 1714,REDPAGOS
Dámaso A. Larrañaga 4508,ABITAB
Rafael Eguren 3498,ABITAB
D.A. Larrañaga 3301 S. Multiahorro,ABITAB
J. Belloni 4964,ABITAB
Capitán Tula 4711,ABITAB
Av. Belloni 4486,ABITAB
Av. Gral. Flores 5483,ABITAB
José Belloni 4179 bis,ANDA
José Belloni 4208,REDPAGOS
José Belloni 5493,REDPAGOS
Gral. Flores 5499,REDPAGOS
José Belloni 4355 Bis,REDPAGOS
Av. Brasil 2531,ABITAB
Av. Sarmiento 2651,ABITAB
Av. Gral. Rivera 3475,ABITAB
Av. Rivera 2406,ABITAB
21 de Setiembre 2458,ABITAB
Av. Brasil 3086,ABITAB
Gral. Rivera 2684 bis,ABITAB
Gabriel Pereira 3150,ABITAB
Cristobal Echevarriarza 3249,ABITAB
21 de Setiembre 2980,ABITAB
Juan Benito Blanco 914,ABITAB
J. Benito Blanco 898,REDPAGOS
L.A. de Herrera 1248,REDPAGOS
J. Benito Blanco 927,REDPAGOS
21 de Setiembre 2737 Local 2,REDPAGOS
P. C. Shopping local 123,REDPAGOS
