Address,Company
San Martín 4250,ABITAB
Nápoles 3402,ABITAB
Ramón Anador 3410,ABITAB
Grecia 3401,ABITAB
Millán 2971,ABITAB
Andes 1387,ABITAB
José Belloni 4964,ABITAB
Carlos María Ramirez 2389 bis,ABITAB
Av. Agraciada 3655,ABITAB
Luis B. Berres 6149,ABITAB
8 de Octubre 3621,ABITAB
Av. 8 de Octubre 3340 Supermercado TA-TA,ABITAB
Camino Castro 253,ABITAB
Convencion 1410,ABITAB
Orinoco 5011,ABITAB
Avda. Brasil 2531,ABITAB
Mississipi 1649,ABITAB
San Jose 892,ABITAB
Avda. 8 de Octubre 3829,ABITAB
Avda. Uruguay 1199,ABITAB
Gonzalo Ramirez 1951,ABITAB
Avda. 8 de octubre 3468 Bis,ABITAB
8 de Octubre 3990,ABITAB
San Jose 829,ABITAB
Av. Pedro de Mendoza 5374,ABITAB
Andes 1373,ABITAB
Luis Batlle Berres 148,ABITAB
Alberto Zum Felde 2051,ABITAB
Piedras 249,ABITAB
Wilson Ferreira Aldunate 1321,ABITAB
Ejido 1364,ABITAB
Colonia 992,ABITAB
Av. Sarmiento 2651,ABITAB
Dámaso A. Larrañaga 4508,ABITAB
Convencion 1366,ABITAB
Colón 1499,ABITAB
Avda. Gral. Flores 2287,ABITAB
Avda. Gral. Flores 2540,ABITAB
Piedras 405,ABITAB
Juncal 1335,ABITAB
Ituzaingo 1433,ABITAB
Juan Benito Blanco 895,ABITAB
Gabriel Pereira 3150,ABITAB
Avda. 18 de Julio 1927,ABITAB
Andes 1422,ABITAB
Avda. 18 de Julio 1497,ABITAB
Minas 1479,ABITAB
Avda. 18 de Julio 1969,ABITAB
Blandengues 1751,ABITAB
Av. Italia 6958,ABITAB
Domingo Aramburú 1849,ABITAB
Zabala 1384,ABITAB
Ruta 8 Km. 20.800 N° 11278 (Supermercado Redmarket),ABITAB
Blandengues 1551,ABITAB
Avda. Dr. Luis A. De Herrera 3867,ABITAB
Dr. Pablo de María 1446,ABITAB
Avda. 8 de Octubre 4142/44,ABITAB
Cno. Maldonado 5502,ABITAB
Cno. Maldonado 5801,ABITAB
Avda. Dr. Carlos M. Ramirez 888,ABITAB
Av. Italia 7548,ABITAB
"Avda. Italia No. 3243,",ABITAB
Luis A. de Herrera 2251,ABITAB
Brd.José Batlle y Ordoñez 5155 esq.Zubiría,ABITAB
Carafi 1148 C,ABITAB
Bvar. Artigas 2474/8,ABITAB
Constituyente 1661,ABITAB
Av. Millán 4518,ABITAB
Avda. Agraciada 3961,ABITAB
Rio Negro 1457,ABITAB
Paraguay 1315,ABITAB
Zelmar Michelini 1344,ABITAB
Peatonal Bacacay 1342,ABITAB
Avda. 18 de Julio 1395/97,ABITAB
Misiones 1482,ABITAB
Av. Agraciada 2545,ABITAB
Paysandu 1341,ABITAB
Dr. Aquiles Lanza 1281,ABITAB
Avda. 18 de Julio 1204,ABITAB
San Martín 2654,ABITAB
Perez Castellanos 1599,ABITAB
Andes 1288,ABITAB
Avda. Agraciada 4109,ABITAB
San José 1200,ABITAB
Colonia 1854,ABITAB
Colonia 836,ABITAB
Constituyente 1459 Local,ABITAB
Av. Millán 4480 Hall Sanatorio de Casa de Galicia,ABITAB
Avda. Gral. Rivera 3475,ABITAB
Avda. Ramon Anador 3833 bis,ABITAB
Avda. 18 de Julio 2258,ABITAB
Avda. Arocena 1568,ABITAB
Avenida Italia 5775 Portones Shopping Local 286,ABITAB
Av. Italia 5775 Shopping Portones Local K81,ABITAB
Avda. Italia 2801,ABITAB
Av. Rivera 2406,ABITAB
Daniel Fernandez Crespo 2266,ABITAB
Justicia 2301,ABITAB
Capitán Tula 4711,ABITAB
Avda. Gral Flores 2788,ABITAB
Avda. 18 de julio 1841,ABITAB
Eduardo Acevedo 1527,ABITAB
Avda. Fernandez Crespo 1982,ABITAB
Guadalupe 2155 Bis,ABITAB
Av. José Batlle y Ordoñez 4575,ABITAB
Belloni 6400,ABITAB
Av. Bolivia 1413,ABITAB
Br. Batlle y Ordoñez s/n,ABITAB
Avda. Agraciada 3054 Bis,ABITAB
Avda. Agraciada 2329,ABITAB
Joaquín Suarez 3406,ABITAB
Sarandi 546,ABITAB
Avda. Uruguay 1252,ABITAB
Avda. Bolivia 2831,ABITAB
21 de Setiembre 2696,ABITAB
Av. Italia 3498,ABITAB
Cooper 2474 (Supermercado TA TA),ABITAB
Tristán Narvaja 1661,ABITAB
María Orticochea 5643,ABITAB
Constituyente 1751,ABITAB
Constituyente 2025,ABITAB
Guarapiru 3812/14/16/18,ABITAB
Av. Rivera 3850,ABITAB
Avda. Garzón 1367,ABITAB
Colonia 1755 Bis,ABITAB
Rincón 725,ABITAB
Río Negro 1149,ABITAB
Legrand 4864,ABITAB
Cooper 2115/17,ABITAB
Colonia 1169,ABITAB
Av. C. M. Ramirez 574 Loc. 6,ABITAB
Av. José Belloni 5344,ABITAB
Capurro 848,ABITAB
21 de Setiembre 2458,ABITAB
Rivera 5647,ABITAB
Felipe Carapé 4600,ABITAB
Avda.GARZON 1697,ABITAB
Av. Gral. E. Garzón 425 Estación Esso Local 1,ABITAB
Fco. A. de Lemos 4155,ABITAB
Avda. 18 de Julio 975,ABITAB
Avda. Gral. Flores 2505,ABITAB
Canelones 2202,ABITAB
Av. Gral. San Martín 3737,ABITAB
Hipólito Yrigoyen 1407 y rambla Rep. de Chile local 001,ABITAB
Br. Gral. Artigas 3003,ABITAB
Cadiz 3044,ABITAB
Camino Maldonado 6817,ABITAB
8 de Octubre 2527,ABITAB
Rbla. Baltasar Brum 3038,ABITAB
Lombardini 3624,ABITAB
Hipolito Yrigoyen 2054,ABITAB
Vazquez 1468,ABITAB
San Quintin 4296 bis,ABITAB
José Ellauri 395,ABITAB
Ejido 1000,ABITAB
San Quintín 4376,ABITAB
Avda. Dr. Carlos Maria Ramirez 266,ABITAB
Nueva York 1267,ABITAB
Avda. Libertador Gral. Lavalleja 1945,ABITAB
Paraguay 1962,ABITAB
Dr. Aquiles Lanza 1332,ABITAB
Avda. Mariscal Solano López 1883,ABITAB
Gral. Flores 3405,ABITAB
Avda. Italia 4474,ABITAB
