medicion,empresa,tipo_eleccion,anio_medicion,anio_gobierno,eleccion,fecha,partido,sigla,candidato,presidente,categoria,categoria_unificada,valor
Evaluacion de gestion presidente,Factum,,2023,4,,2023-09-06,Partido Nacional,PN,,Lacalle Pou,Aprueba,3,50
Evaluacion de gestion presidente,Factum,,2023,4,,2023-09-06,Partido Nacional,PN,,Lacalle Pou,Ni aprueba ni desaprueba,2,20
Evaluacion de gestion presidente,Factum,,2023,4,,2023-09-06,Partido Nacional,PN,,Lacalle Pou,Desaprueba,1,30
Evaluacion de gestion presidente,Factum,,2023,4,,2023-09-06,Partido Nacional,PN,,Lacalle Pou,NS/NC,0,0
Evaluacion de gestion presidente,Opcion,,2023,4,,2023-11-15,Partido Nacional,PN,,Lacalle Pou,Aprueba,3,42
Evaluacion de gestion presidente,Opcion,,2023,4,,2023-11-15,Partido Nacional,PN,,Lacalle Pou,Ni aprueba ni desaprueba,2,24
Evaluacion de gestion presidente,Opcion,,2023,4,,2023-11-15,Partido Nacional,PN,,Lacalle Pou,Desaprueba,1,32
Evaluacion de gestion presidente,Opcion,,2023,4,,2023-11-15,Partido Nacional,PN,,Lacalle Pou,NS/NC,0,2
Evaluacion de gestion presidente,Equipos,,2023,4,,2023-11-29,Partido Nacional,PN,,Lacalle Pou,Aprueba,3,45
Evaluacion de gestion presidente,Equipos,,2023,4,,2023-11-29,Partido Nacional,PN,,Lacalle Pou,Ni aprueba ni desaprueba,2,19
Evaluacion de gestion presidente,Equipos,,2023,4,,2023-11-29,Partido Nacional,PN,,Lacalle Pou,Desaprueba,1,36
Evaluacion de gestion presidente,Equipos,,2023,4,,2023-11-29,Partido Nacional,PN,,Lacalle Pou,NS/NC,0,0
Evaluacion de gestion presidente,Equipos,,2024,4,,2024-02-27,Partido Nacional,PN,,Lacalle Pou,Aprueba,3,49
Evaluacion de gestion presidente,Equipos,,2024,4,,2024-02-27,Partido Nacional,PN,,Lacalle Pou,Ni aprueba ni desaprueba,2,17
Evaluacion de gestion presidente,Equipos,,2024,4,,2024-02-27,Partido Nacional,PN,,Lacalle Pou,Desaprueba,1,33
