medicion,empresa,tipo_eleccion,anio_medicion,anio_gobierno,eleccion,fecha,partido,sigla,candidato,presidente,categoria,categoria_unificada,valor
Intencion de voto,Factum,Nacional,2021,,2024,2021-11-15,Frente Amplio,FA,,,,,39
Intencion de voto,Factum,Nacional,2021,,2024,2021-11-15,Partido Nacional,PN,,,,,30
Intencion de voto,Factum,Nacional,2021,,2024,2021-11-15,Partido Colorado,PC,,,,,8
Intencion de voto,Factum,Nacional,2021,,2024,2021-11-15,Cabildo Abierto,CA,,,,,9
Intencion de voto,Factum,Nacional,2021,,2024,2021-11-15,Partido Independiente,PI,,,,,2
Intencion de voto,Factum,Nacional,2021,,2024,2021-11-15,Partido Ecologista Radical Intransigente,PERI,,,,,1
Intencion de voto,Factum,Nacional,2021,,2024,2021-11-15,Unidad Popular,UP,,,,,1
Intencion de voto,Factum,Nacional,2021,,2024,2021-11-15,Otros partidos,OtrosP,,,,,1
Intencion de voto,Factum,Nacional,2021,,2024,2021-11-15,Blanco o anulado,B/A,,,,,2
Intencion de voto,Factum,Nacional,2021,,2024,2021-11-15,No sabe o no contesta,NS/NC,,,,,7
Intencion de voto,Factum,Nacional,2022,,2024,2022-06-13,Frente Amplio,FA,,,,,39
Intencion de voto,Factum,Nacional,2022,,2024,2022-06-13,Partido Nacional,PN,,,,,28
Intencion de voto,Factum,Nacional,2022,,2024,2022-06-13,Partido Colorado,PC,,,,,8
Intencion de voto,Factum,Nacional,2022,,2024,2022-06-13,Cabildo Abierto,CA,,,,,8
Intencion de voto,Factum,Nacional,2022,,2024,2022-06-13,Partido Independiente,PI,,,,,3
Intencion de voto,Factum,Nacional,2022,,2024,2022-06-13,Otros partidos,OtrosP,,,,,3
Intencion de voto,Factum,Nacional,2022,,2024,2022-06-13,Blanco o anulado,B/A,,,,,4
Intencion de voto,Factum,Nacional,2022,,2024,2022-06-13,No sabe o no contesta,NS/NC,,,,,7
Intencion de voto,Factum,Nacional,2022,,2024,2022-10-16,Frente Amplio,FA,,,,,41
Intencion de voto,Factum,Nacional,2022,,2024,2022-10-16,Partido Nacional,PN,,,,,27
Intencion de voto,Factum,Nacional,2022,,2024,2022-10-16,Partido Colorado,PC,,,,,8
Intencion de voto,Factum,Nacional,2022,,2024,2022-10-16,Cabildo Abierto,CA,,,,,8
Intencion de voto,Factum,Nacional,2022,,2024,2022-10-16,Partido Independiente,PI,,,,,3
Intencion de voto,Factum,Nacional,2022,,2024,2022-10-16,Otros partidos,OtrosP,,,,,3
Intencion de voto,Factum,Nacional,2022,,2024,2022-10-16,Blanco o anulado,B/A,,,,,3
Intencion de voto,Factum,Nacional,2022,,2024,2022-10-16,No sabe o no contesta,NS/NC,,,,,7
Intencion de voto,Factum,Nacional,2023,,2024,2023-02-20,Frente Amplio,FA,,,,,41
Intencion de voto,Factum,Nacional,2023,,2024,2023-02-20,Partido Nacional,PN,,,,,26
Intencion de voto,Factum,Nacional,2023,,2024,2023-02-20,Partido Colorado,PC,,,,,6
Intencion de voto,Factum,Nacional,2023,,2024,2023-02-20,Cabildo Abierto,CA,,,,,9
Intencion de voto,Factum,Nacional,2023,,2024,2023-02-20,Partido Independiente,PI,,,,,4
Intencion de voto,Factum,Nacional,2023,,2024,2023-02-20,Otros partidos,OtrosP,,,,,4
Intencion de voto,Factum,Nacional,2023,,2024,2023-02-20,Blanco o anulado,B/A,,,,,3
Intencion de voto,Factum,Nacional,2023,,2024,2023-02-20,No sabe o no contesta,NS/NC,,,,,7
Intencion de voto,Factum,Nacional,2023,,2024,2023-05-11,Frente Amplio,FA,,,,,41
Intencion de voto,Factum,Nacional,2023,,2024,2023-05-11,Partido Nacional,PN,,,,,23
Intencion de voto,Factum,Nacional,2023,,2024,2023-05-11,Partido Colorado,PC,,,,,8
Intencion de voto,Factum,Nacional,2023,,2024,2023-05-11,Cabildo Abierto,CA,,,,,11
Intencion de voto,Factum,Nacional,2023,,2024,2023-05-11,Partido Independiente,PI,,,,,4
Intencion de voto,Factum,Nacional,2023,,2024,2023-05-11,Otros partidos,OtrosP,,,,,3
Intencion de voto,Factum,Nacional,2023,,2024,2023-05-11,Blanco o anulado,B/A,,,,,3
Intencion de voto,Factum,Nacional,2023,,2024,2023-05-11,No sabe o no contesta,NS/NC,,,,,7
Intencion de voto,Cifra,Nacional,2022,,2024,2022-10-31,Frente Amplio,FA,,,,,43
Intencion de voto,Cifra,Nacional,2022,,2024,2022-10-31,Partido Nacional,PN,,,,,31
Intencion de voto,Cifra,Nacional,2022,,2024,2022-10-31,Partido Colorado,PC,,,,,4
Intencion de voto,Cifra,Nacional,2022,,2024,2022-10-31,Cabildo Abierto,CA,,,,,2
Intencion de voto,Cifra,Nacional,2022,,2024,2022-10-31,Partido Independiente,PI,,,,,1
Intencion de voto,Cifra,Nacional,2022,,2024,2022-10-31,Coalición Multicolor,CM,,,,,1
Intencion de voto,Cifra,Nacional,2022,,2024,2022-10-31,No sabe o no contesta,NS/NC,,,,,18
Intencion de voto,Cifra,Nacional,2023,,2024,2023-02-27,Frente Amplio,FA,,,,,43
Intencion de voto,Cifra,Nacional,2023,,2024,2023-02-27,Partido Nacional,PN,,,,,30
Intencion de voto,Cifra,Nacional,2023,,2024,2023-02-27,Partido Colorado,PC,,,,,3
Intencion de voto,Cifra,Nacional,2023,,2024,2023-02-27,Cabildo Abierto,CA,,,,,2
Intencion de voto,Cifra,Nacional,2023,,2024,2023-02-27,Partido Independiente,PI,,,,,1
Intencion de voto,Cifra,Nacional,2023,,2024,2023-02-27,Coalición Multicolor,CM,,,,,2
Intencion de voto,Cifra,Nacional,2023,,2024,2023-02-27,No sabe o no contesta,NS/NC,,,,,19
