INCISO;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010
01 - PODER LEGISLATIVO;0,046;0,044;0,073;0,121;0,167;0,256;0,494;1,140;2,002;3,151;4,990;8,570;10,16;9;11;14;20;26;40;60;86;94;107;144;729;2.080;4.234;6.368;12.900;31.405;70.343;129.944;209.490;313.920;439.242;585.241;659.560;721.450;837.441;898.820;957.053;992.061;1.211.519;1.317.338;1.516.042;1.637.205;1.811.673;2.033.068;2.156.439;2.396.197
02 - PRESIDENCIA DE LA REPUBLICA;0,004;0,005;0,007;0,010;0,016;0,022;0,044;0,127;0,170;0,230;0,525;0,691;1,78;4;10;15;22;31;55;101;140;156;178;250;797;1.057;2.044;5.059;9.185;25.758;43.397;89.531;262.767;323.670;320.475;299.338;370.397;465.478;526.186;491.316;604.682;712.418;695.504;898.421;774.764;790.975;754.294;1.528.838;1.651.467;1.578.118
03 - MINISTERIO DE DEFENSA NACIONAL;0,188;0,225;0,281;0,369;0,670;1,133;2,372;4,306;6,774;8,924;12,171;19,076;65,16;140;231;331;494;819;1.670;2.759;4.234;4.774;5.984;8.816;14.247;24.802;42.729;64.765;116.892;237.903;436.392;692.508;1.011.576;1.478.526;1.948.622;3.111.465;3.545.128;3.817.220;4.081.202;4.245.788;4.375.022;4.330.283;4.755.072;5.008.697;5.349.053;5.899.511;6.488.937;8.009.228;8.321.075;8.882.938
04 - MINISTERIO DEL INTERIOR;0,103;0,135;0,168;0,280;0,419;0,679;1,767;2,996;4,532;5,733;8,459;9,347;42,44;81;154;228;298;426;718;1.346;1.974;2.363;2.938;4.003;7.233;13.103;22.510;36.434;68.236;131.061;255.425;401.801;614.505;878.294;1.203.017;2.013.224;2.515.314;3.107.307;3.406.809;3.565.056;3.791.611;3.891.589;4.050.582;4.420.899;4.742.279;5.307.515;6.542.898;7.631.847;9.473.792;10.924.580
05 - MINISTERIO DE ECONOMIA Y FINANZAS;0,062;0,084;0,112;0,149;0,243;0,341;0,625;0,993;1,255;1,418;2,157;2,811;13,70;26;47;71;95;145;254;414;582;615;780;1.071;2.116;4.248;7.927;13.018;23.589;45.993;98.176;144.505;234.591;334.241;430.145;1.215.134;1.390.513;1.594.153;1.714.722;1.242.855;1.255.456;1.280.877;1.397.576;1.489.219;1.676.736;2.064.407;2.444.959;2.803.509;3.094.137;3.459.103
06 - MINISTERIO DE RELACIONES EXTERIORES;0,039;0,043;0,068;0,077;0,129;0,355;0,549;1,027;1,471;1,571;1,708;4,578;5,62;9;13;25;33;54;166;218;267;306;612;966;1.935;3.444;5.944;10.770;17.124;36.042;77.780;128.757;172.045;227.499;324.791;457.982;563.518;628.635;654.906;647.560;801.440;988.482;1.254.740;1.314.917;1.220.999;1.294.468;1.358.160;1.440.169;1.615.473;1.576.506
07 - MINISTERIO DE GANADERIA, AGRICULTURA Y PESCA;0,026;0,042;0,050;0,069;0,132;0,197;0,371;0,736;1,041;1,109;1,760;2,070;6,75;11;23;40;56;90;184;331;452;476;589;857;1.531;3.233;6.292;9.629;19.105;31.497;67.306;97.202;134.752;184.534;257.389;494.993;690.097;743.184;750.186;853.210;881.928;826.453;925.531;1.008.828;1.638.373;1.115.829;1.422.663;1.721.394;2.084.536;1.853.090
08 - MINISTERIO DE INDUSTRIA, ENERGIA Y MINERIA;0,000;0,000;0,000;0,000;0,000;0,000;0,071;0,148;0,227;0,731;0,917;1,121;2,22;11;17;25;37;57;125;144;139;122;140;191;340;542;889;1.441;2.423;4.631;9.068;13.132;17.815;23.986;30.218;81.440;99.561;109.876;123.095;144.456;153.979;145.836;146.309;166.068;172.193;199.791;267.501;327.465;412.370;470.073
09 - MINISTERIO DE TURISMO Y DEPORTE (*1);0,000;0,000;0,000;0,000;0,000;0,000;0,534;0,967;1,240;1,405;1,927;2,131;8,75;1;;;;;;;;;;;;84;375;691;2.279;4.041;11.911;14.517;18.500;16.530;24.443;83.160;81.113;93.647;92.534;85.598;109.991;109.835;132.728;146.927;210.839;373.474;485.188;741.666;716.346;753.895
10 - MINISTERIO DE TRANSPORTE Y OBRAS PUBLICAS;0,022;0,029;0,033;0,042;0,066;0,096;0,164;0,263;0,336;0,357;0,416;0,497;2,53;5;23;169;322;509;598;927;1.429;1.935;2.384;3.191;6.832;12.028;24.757;38.865;66.681;148.980;196.471;342.565;470.821;649.285;847.265;1.233.777;1.582.258;1.780.864;1.954.883;1.671.181;1.997.087;1.704.625;2.627.855;2.665.544;2.875.786;3.000.497;3.120.140;4.161.645;4.523.730;5.102.871
11 - MINISTERIO DE EDUCACION Y CULTURA (*2);0,064;0,083;0,103;0,136;0,217;0,348;0,452;0,855;1,168;1,465;1,650;1,781;5,87;12;20;32;70;109;240;444;684;742;953;1.220;2.450;5.756;10.801;19.042;25.330;42.024;83.560;126.451;189.006;303.915;426.892;804.971;864.929;933.450;972.914;905.393;840.467;812.980;835.546;909.695;998.567;1.207.389;1.605.182;2.054.682;1.935.879;2.089.911
