year,gdp_nominal_pesos
1960,14500
1961,17600
1962,19400
1963,23300
1964,33500
1965,54900
1966,97500
1967,167700
1968,369500
1969,497100
1970,530000
1971,696200
1972,1162200
1973,3398000
1974,4492400
1975,7911000
1976,12110800
1977,19119500
1978,29576100
1979,56288500
1980,92204000
1981,119248000
1982,127156700
1983,175395000
1984,271096000
1985,478672000
1986,890449000
1987,1661532000
1988,2944611000
1989,5242091000
1990,10874807000
1991,22610288000
1992,38953979000
1993,59124802000
1994,88140376000
1995,122520863000
1996,163545806000
1997,226318274900
1998,265838901400
1999,271961149700
2000,276152265900
2001,278353052800
2002,289233255700
2003,339791593800
2004,392849675900
2005,425018448100
2006,475242288900
2007,558558125600
2008,651934418500
2009,738160788900
2010,841493831900
2011,972323702000
2012,1101488513300
2013,1256293128100
2014,1429541899800
2015,1576251491900
2016,1733770000000
2017,1864138000000
2018,2007729000000
2019,2193671000000
2020,2250205000000
2021,2645465000000
2022,2906436000000
2023,3027942000000
2024,3255688000000
2025,3516000000000
