line,company_current,company_history,year_start,year_end,status,notes
1,COETC,Transatlántica(1907-1933); S.C.M(1933-1947); AMDET(1947-1969); COTSUR(1975-1992); COETC(1992-1992),1975,1992,inactive,tramway 1907-1957; reopened as bus 1975; only ran by 6 months by COETC
2,COETC,AMDET(1974-1975); Raincoop(1975-2016); COETC(2016-present),1974,,active,
3,AMDET,Transatlántica(1908-~1933); S.C.M(~1933-~1948); AMDET(~1948-1975),1969,1975,inactive,"Aduana - Hipódromo de Maroñas; tram 1908-1959, trolleybus 1959-1969, bus from 1969"
4,CUTCSA,AMDET(1956-1956); COOPTROL(1975-1992); CUTCSA(1992-2022),1992,2022,inactive,trolleybus 1956-1992 then bus
5,COTSUR,S.C.M(1907-1939); AMDET(1956-1975); COTSUR(1975-1992),1969,1992,inactive,became 505 (COME) in 1992; trolleybus until 1969
6,AMDET,AMDET(1948~1975-1975),1948~1975,1975,inactive,Aduana - Garibaldi y General Flores
10,AMDET,AMDET(1948~1975-1975),1948~1975,1975,inactive,Sayago - Ariel y Camino Lecocq; local
11,AMDET,AMDET(1948~1975-1975),1948~1975,1975,inactive,Estación Sayago - Conciliación; local
12,AMDET,AMDET(1948~1975-1975),1948~1975,1975,inactive,Avenida Millán - Peñarol; local
14,CUTCSA,Transatlántica(1908-1956); AMDET(1956-1975); Raincoop(1975-2016); CUTCSA(2016-2020),1975,2020,inactive,assumed to be bus since Raincoop (1975); replaced by E14 in 2020
15,AMDET,AMDET(1948~1975-1975),1948~1975,1975,inactive,Curva de Grecia - Casabó; local
17,UCOT,AMDET(1956-1975); COTSUR(1975-1992); Raincoop(1992-2016); UCOT(2016-present),1956,,active,
18,AMDET,AMDET(1948~1975-1975),1948~1984,1975,inactive,Punta Carretas - Palacio de la Luz
21,CUTCSA,AMDET(1974-1975); Raincoop(1975-2016); CUTCSA(2016-present),1974,,active,
22,COME,COME(1963-1963),1963,1963,inactive,COME founding line; renamed to 522 by IMM renumbering Aug 1963
25,AMDET,AMDET(1948~1975-1975),1948~1954,1975,inactive,Aduana - Borro
32,AMDET,AMDET(1948~1975-1975),1948~1954,1975,inactive,Aduana - Curva de Maroñas
33,AMDET,AMDET(1948~1975-1975),1948~1954,1975,inactive,Aduana - Pocitos
51,AMDET,AMDET(1948~1975-1975),1948~1954,1975,inactive,Unión - Cerrito; local
60,CUTCSA,AMDET(1959-1975); COOPTROL(1975-1992); CUTCSA(1992-present),1992,,active,became bus in 1992
62,CUTCSA,AMDET(1951-1975); COOPTROL(1975-1992); CUTCSA(1992-present),1992,,active,was trolleybus until 1992
64,CUTCSA,AMDET(1955-1975); COOPTROL(1975-1992); CUTCSA(1992-present),1992,,active,Supresión 2020 + Reapertura 2021 = temporary; currently active
66,AMDET,AMDET(1956-1976),1956,1976,inactive,Last AMDET line to end - one year after dissolution; replaced by UCOT's 366
