station,band,year,avg_rating
CX6 CLÁSICA,AM,2017,0.0245
CX8 SARANDI,AM,2017,0.5979
CX10 CONTINENTE,AM,2017,0.0616
CX12 ORIENTAL,AM,2017,0.1731
CX14 EL ESPECTADOR,AM,2017,0.2310
CX16 CARVE,AM,2017,0.1317
CX18 SPORT 890,AM,2017,0.3693
CX20 MONTECARLO,AM,2017,1.2731
CX22 UNIVERSAL,AM,2017,0.1068
CX24 RADIO 1010 AM,AM,2017,0.0686
CX26 RADIO URUGUAY,AM,2017,0.1115
CX28 IMPARCIAL,AM,2017,0.0513
CX30 NACIONAL,AM,2017,0.0775
CX32 MUNDO,AM,2017,0.0119
CX36 CENTENARIO,AM,2017,0.1013
CX38 EMISORA DEL SUR,AM,2017,0.0177
CX40 FENIX,AM,2017,0.0147
CX42 C. DE MDEO.,AM,2017,0.0080
CX44 AM LIBRE,AM,2017,0.0244
CX46 AMERICA,AM,2017,0.0146
CX48 CRISTAL,AM,2017,0.0111
CX58 CLARIN,AM,2017,0.1647
90.3 OLDIES,FM,2017,0.4217
91.1 RADIOFUTURA,FM,2017,0.3949
91.9 DISNEY,FM,2017,1.0733
92.5 CONCIERTO URBANA,FM,2017,0.1148
93.1 INOLVIDABLE,FM,2017,0.7434
93.9 OCEANO,FM,2017,0.4311
94.7 E. DEL SUR,FM,2017,0.0751
95.5 DEL PLATA,FM,2017,0.3906
96.3 ALFA,FM,2017,0.0864
97.1 BABEL,FM,2017,0.1829
97.9 M24,FM,2017,0.1253
98.7 DIAMANTE,FM,2017,0.1230
99.5 DEL SOL,FM,2017,0.8099
100.3 AIRE,FM,2017,1.8775
101.3 VOZ DE LA ESPERANZA,FM,2017,0.1072
101.9 AZUL,FM,2017,0.8061
102.9 TOTAL,FM,2017,0.2025
103.7 LATINA,FM,2017,0.6103
104.3 RADIOCERO,FM,2017,0.5354
104.9 METROPOLIS,FM,2017,0.3538
105.9 GALAXIA,FM,2017,0.4863
106.7 LA LEY,FM,2017,0.5525
CX6 CLÁSICA,AM,2018,0.0203
CX8 SARANDI,AM,2018,0.6892
CX10 CONTINENTE,AM,2018,0.0327
CX12 ORIENTAL,AM,2018,0.0969
CX14 EL ESPECTADOR,AM,2018,0.1249
CX16 CARVE,AM,2018,0.1222
CX18 SPORT 890,AM,2018,0.3684
CX20 MONTECARLO,AM,2018,1.4386
CX22 UNIVERSAL,AM,2018,0.1049
CX24 RADIO 1010 AM,AM,2018,0.0601
CX26 RADIO URUGUAY,AM,2018,0.1157
CX28 IMPARCIAL,AM,2018,0.0346
CX30 NACIONAL,AM,2018,0.0136
CX32 RADIOMUNDO,AM,2018,0.1167
CX36 CENTENARIO,AM,2018,0.1192
CX38 EMISORA DEL SUR,AM,2018,0.0037
CX40 FENIX,AM,2018,0.0166
CX42 C. DE MDEO.,AM,2018,0.0030
CX44 AM LIBRE,AM,2018,0.0020
CX46 AMERICA,AM,2018,0.0472
CX48 CRISTAL,AM,2018,0.0164
CX58 CLARIN,AM,2018,0.1291
90.3 OLDIES,FM,2018,0.4524
91.1 RADIOFUTURA,FM,2018,0.6024
91.9 DISNEY,FM,2018,0.8641
92.5 CONCIERTO URBANA,FM,2018,0.0631
93.1 INOLVIDABLE,FM,2018,0.8686
93.9 OCEANO,FM,2018,0.4611
94.7 E. DEL SUR,FM,2018,0.0619
95.5 DEL PLATA,FM,2018,0.5781
96.3 ALFA,FM,2018,0.0699
97.1 BABEL,FM,2018,0.1985
97.9 M24,FM,2018,0.1840
98.7 DIAMANTE,FM,2018,0.0577
99.5 DEL SOL,FM,2018,0.7753
100.3 AIRE,FM,2018,1.9264
101.3 VOZ DE LA ESPERANZA,FM,2018,0.0963
101.9 AZUL,FM,2018,1.0569
102.9 TOTAL,FM,2018,0.3573
103.7 LATINA,FM,2018,0.8144
104.3 RADIOCERO,FM,2018,0.6428
104.9 METROPOLIS,FM,2018,0.6228
105.9 GALAXIA,FM,2018,0.3682
106.7 LA LEY,FM,2018,0.6345
CX6 CLÁSICA,AM,2019,0.0768
CX8 SARANDI,AM,2019,1.0214
CX10 CONTINENTE,AM,2019,0.0804
CX12 ORIENTAL,AM,2019,0.3077
CX14 EL ESPECTADOR,AM,2019,0.1071
CX16 CARVE,AM,2019,0.2105
CX18 SPORT 890,AM,2019,0.5583
CX20 MONTECARLO,AM,2019,1.5970
CX22 UNIVERSAL,AM,2019,0.1508
CX24 RADIO 1010 AM,AM,2019,0.1287
CX26 RADIO URUGUAY,AM,2019,0.0247
CX28 IMPARCIAL,AM,2019,0.0072
CX30 NACIONAL,AM,2019,0.0261
CX32 RADIOMUNDO,AM,2019,0.0566
CX36 CENTENARIO,AM,2019,0.0296
CX38 EMISORA DEL SUR,AM,2019,0.0204
CX40 FENIX,AM,2019,0.0338
CX42 C. DE MDEO.,AM,2019,0.0130
CX44 AM LIBRE,AM,2019,0.0156
CX46 AMERICA,AM,2019,0.0165
CX48 CRISTAL,AM,2019,0.0213
CX58 CLARIN,AM,2019,0.1110
90.3 OLDIES,FM,2019,0.5811
91.1 RADIOFUTURA,FM,2019,0.4924
91.9 DISNEY,FM,2019,0.9867
92.5 CONCIERTO URBANA,FM,2019,0.1160
93.1 INOLVIDABLE,FM,2019,1.3397
93.9 OCEANO,FM,2019,0.5501
94.7 E. DEL SUR,FM,2019,0.0964
95.5 DEL PLATA,FM,2019,0.7096
96.3 ALFA,FM,2019,0.0840
97.1 BABEL,FM,2019,0.1915
97.9 M24,FM,2019,0.1672
98.7 DIAMANTE,FM,2019,0.1324
99.5 DEL SOL,FM,2019,1.1728
100.3 AIRE,FM,2019,2.6419
101.3 VOZ DE LA ESPERANZA,FM,2019,0.1426
101.9 AZUL,FM,2019,1.1798
102.9 TOTAL,FM,2019,0.1871
103.7 LATINA,FM,2019,0.4570
104.3 RADIOCERO,FM,2019,0.5325
104.9 METROPOLIS,FM,2019,1.0637
105.9 GALAXIA,FM,2019,0.4336
106.7 LA LEY,FM,2019,0.4144
650 - CX6 CLÁSICA,AM,2021,0.0163
690 - CX8 SARANDI,AM,2021,1.0369
730 - CX10 CONTINENTE,AM,2021,0.0603
770 - CX12 ORIENTAL,AM,2021,0.1596
810 - CX14 EL ESPECTADOR,AM,2021,0.4263
850 - CX16 CARVE,AM,2021,0.4382
890 - CX18 SPORT 890,AM,2021,0.7508
930 - CX20 MONTECARLO,AM,2021,1.8069
970 - CX22 UNIVERSAL,AM,2021,0.3432
1010 - CX24 LA 1010 AM,AM,2021,0.2012
1050 - CX26 RADIO URUGUAY,AM,2021,0.1299
1090 - CX28 IMPARCIAL,AM,2021,0.0266
1130 - CX30 NACIONAL,AM,2021,0.1664
1170 - CX32 RADIOMUNDO,AM,2021,0.2151
1250 - CX36 CENTENARIO,AM,2021,0.0519
1290 - CX38 EMISORA DEL SUR,AM,2021,0.0073
1330 - CX40 FENIX,AM,2021,0.0423
1370 - CX42 CIUDAD DE MDEO.,AM,2021,0.0172
1410 - CX44 LA 1410,AM,2021,0.1585
1450 - CX46 AMERICA,AM,2021,0.0235
580 - CX58 CLARIN,AM,2021,0.2422
90.3 - FM HIT (OLDIES),FM,2021,0.4825
91.1 - RADIO FUTURA,FM,2021,0.7099
91.9 - FM LIKE,FM,2021,0.8687
92.5 - URBANA FM,FM,2021,0.3960
93.1 - INOLVIDABLE,FM,2021,1.6034
93.9 - OCEANO,FM,2021,0.5266
94.7 - DEL SUR,FM,2021,0.1009
95.5 - DEL PLATA,FM,2021,1.2213
96.3 - ALFA,FM,2021,0.0869
97.1 - BABEL,FM,2021,0.3765
97.9 - M24,FM,2021,0.4862
98.7 - DIAMANTE,FM,2021,0.0614
99.5 - DEL SOL,FM,2021,1.8119
100.3 - AIRE,FM,2021,2.1965
101.3 - VOZ DE LA ESPERANZA,FM,2021,0.1878
101.9 - AZUL,FM,2021,1.3154
102.9 - TOTAL,FM,2021,0.2613
103.7 - RADIO DISNEY,FM,2021,1.4143
104.3 - RADIO CERO,FM,2021,0.5215
104.9 - METROPOLIS,FM,2021,0.9030
105.9 - GALAXIA,FM,2021,0.5253
106.7 - LA LEY,FM,2021,0.2655
610 - CX4 RURAL,AM,2022,0.0964
650 - CX6 CLASICA,AM,2022,0.0943
690 - CX8 SARANDI,AM,2022,0.6279
730 - CX10 CONTINENTE,AM,2022,0.0410
